page,segment_no,segment_hi,village_hi,vcode,nonagri,shop,office,godown,extra,flag
63,1,कानपुर रोड (चारबाग स्टेशन से अवध अस्पताल/श्रंगार नगर नहर तक),अमरुदही बाग,0117,60500,126000,100000,75000,,
63,2,अब्दुल अजीज रोड (तुलसीदास मार्ग से लेकर पुलगामा तक),अहोरी टोला,0166,28500,79000,64000,48000,,
63,3,अब्दुल अजीज रोड (पुलगामा से चौपटिया तक),अहोरी टोला,0166,27000,79000,64000,48000,,
63,4,कैम्पबेल रोड,असियामऊ,0242,27000,95000,76000,55500,,
63,5,मोहान रोड (बुलाकी अड्डा से नगर निगम सीमा तक),आलम नगर,0034,37500,79000,64000,48000,,
63,6,कैम्पबेल रोड,आजाद नगर,0098,27000,95000,76000,55500,,
63,7,कैम्पबेल रोड,एकता नगर,0055,27000,95000,76000,55500,,
63,8,मोहान रोड (बुलाकी अड्डा से नगर निगम सीमा तक),एल.डी.ए. कालोनी,0141,37500,79000,64000,48000,,
63,9,तालकटोरा रोड (हैदरगंज चौराहे से आलमबाग चौराहे तक),एवरेडी चौराहा,0186,36000,95000,76000,55500,,
64,10,ऐशबाग रोड (नाका चौराहे से हैदरगंज चौराहे तक),ऐशबाग मोहल्ला,0157,36000,89000,67000,52500,,
64,11,कानपुर रोड (श्रृगार नगर अवध अस्पताल/ श्रंगार नहर चौराहे से हाइडिल चौराहे तक),कनौसी,0069,52500,115000,88000,66000,,
64,12,रिंग रोड (कानपुर रोड को हरदोई रोड से मिलाने वाली रिंग रोड नगर सीमा तक),कनौसी,0069,40000,65000,51500,37500,,
64,13,कानपुर रोड (श्रृगार नगर अवध अस्पताल/ श्रंगार नहर चौराहे से हाइडिल चौराहे तक),कन्हैयाकुन्ज कालोनी,0120,52500,115000,88000,66000,,
64,14,कानपुर रोड (श्रृगार नगर अवध अस्पताल/ श्रंगार नहर चौराहे से हाइडिल चौराहे तक),कृष्णा नगर,0119,52500,115000,88000,66000,,
64,15,मोहान रोड (बुलाकी अड्डा से नगर निगम सीमा तक),कोडर,0209,37500,79000,64000,48000,,
64,16,कैम्पबेल रोड,किशोरगंज,0243,27000,95000,76000,55500,,
64,17,देवपुर रोड (जलालपुर रेलवे क्रासिंग से टी.के.रोड (चन्द्रोनगर मोड़ निकट पारा पुलिस थाना रिंगरोड),चन्द्रोदय नगर,0072,21000,65000,51500,37500,,
65,18,कानपुर रोड (श्रृगार नगर अवध अस्पताल/ श्रंगार नहर चौराहे से हाइडिल चौराहे तक),चाणक्यपुरी,0124,52500,115000,88000,66000,,
65,19,देवपुर रोड (जलालपुर रेलवे क्रासिंग से टी.के.रोड (चन्द्रोदयनगर मोड़ निकट पारा पुलिस थाना रिंगरोड),जलालपुर,0038,21000,65000,51500,37500,,
65,20,अब्दुल अजीज रोड (तुलसीदास मार्ग से लेकर पुलगामा तक),झवाई टोला,0174,28500,79000,64000,48000,,
65,21,अब्दुल अजीज रोड (पुलगामा से चौपटिया तक),झवाई टोला,0174,27000,79000,64000,48000,,
65,22,मोहान रोड (बुलाकी अड्डा से नगर निगम सीमा तक),टिकैतराय,0299,37500,79000,64000,48000,,
65,23,मोहान रोड (बुलाकी अड्डा से नगर निगम सीमा तक),टिकैतगंज पुराना,0234,37500,79000,64000,48000,,
