page,segment_no,segment_hi,village_hi,vcode,nonagri,shop,office,godown,extra,flag
61,1,गंगा प्रसाद रोड,अस्तबल चारबाग (मशकगंज ),0167,40000,99000,76000,59000,,
61,2,नादान महल रोड,अस्तबल यहियागंज,0106,40000,99000,76000,59000,,
61,3,कंचना बिहारी मार्ग (रिंग रोड से कुसी रोड तक ),आदिलनगर,0137,27500,60000,48500,35500,,
61,4,कुर्सी रोड - कपूरथला चौराहे से टेढ़ी पुलिया चौराहा होते हुए नगर निगम की सीमा तक,आदिलनगर,0137,52000,99000,76000,59000,,
61,5,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),आदिलनगर,0137,50000,99000,76000,59000,,
61,6,रिंग रोड - पिकनिक स्पॉट रोड (रहीमनगर चौराहे से रिंग रोड चौराहे तक ),अम्बाही का पुरवा,0118,40000,82000,58500,53000,,
62,7,कुर्सी रोड - कपूरथला चौराहे से टेढ़ी पुलिया चौराहा होते हुए नगर निगम की सीमा तक,अतरौली,0125,52000,99000,76000,59000,,
62,8,फैजाबादरोड (डालीगंज पुल से चिनहट चौ./देवा तिराहे / नगर निगम की सीमा तक),इस्माईलगंज,0039,62000,99000,76000,59000,,
62,9,फैजाबादरोड (डालीगंज पुल से चिनहट चौ./देवा तिराहे / नगर निगम की सीमा तक),इन्दिरा नगर से.-3 (बी ब्लाक),0048,62000,99000,76000,59000,,
62,10,फैजाबादरोड (डालीगंज पुल से चिनहट चौ./देवा तिराहे / नगर निगम की सीमा तक),इन्दिरा नगर से.-4(ए ब्लाक),0054,62000,99000,76000,59000,,
62,11,फैजाबाद रोड से भूत नाथ मार्केट तक,इन्दिरा नगर से.-4(ए ब्लाक),0054,46000,107000,81500,62000,,
62,12,फैजाबादरोड (डालीगंज पुल से चिनहट चौ./देवा तिराहे / नगर निगम की सीमा तक),इन्दिरा नगर से.-5 (बी ब्लाक),0229,62000,99000,76000,59000,,
62,13,फैजाबादरोड (डालीगंज पुल से चिनहट चौ./देवा तिराहे / नगर निगम की सीमा तक),इन्दिरा नगर सेक्टर-6 (सी-ब्लाक),0230,62000,99000,76000,59000,,
62,14,फैजाबादरोड (डालीगंज पुल से चिनहट चौ./देवा तिराहे / नगर निगम की सीमा तक),इन्दिरा नगर सेक्टर 7(डी ब्लाक),0037,62000,99000,76000,59000,,
62,15,रिंग रोड - फैजाबाद रोड से सीतापुर रोड (पॉलिटेक्निक चौराहे से मुंशी पुलिया चौराहे तक),इन्दिरा नगर सेक्टर-9,0216,50000,99000,76000,59000,,
63,16,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर-10,0217,50000,99000,76000,59000,,
63,17,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर-10,0217,50000,99000,76000,59000,,same village as row 16 (duplicate row printed)
63,18,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर 11ए,0043,50000,99000,76000,59000,,
63,19,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर-12,0218,50000,99000,76000,59000,,
63,20,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर-13,0219,50000,99000,76000,59000,,
63,21,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर 15,0034,50000,99000,76000,59000,,
63,22,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर 16,0225,50000,99000,76000,59000,,
63,23,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर 18,0221,50000,99000,76000,59000,,
63,24,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर 19,0227,50000,99000,76000,59000,,
64,25,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर -20,0050,50000,99000,76000,59000,,
64,26,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर 21,0228,50000,99000,76000,59000,,
64,27,रिंग रोड - (मुन्शी पुलिया चौराहे से इंजीनिरिंग कालेज तक),इन्दिरा नगर सेक्टर-22,0055,50000,99000,76000,59000,,
64,28,फैजाबाद रोड से भूतनाथ मार्केट होते हुये सेक्टर बी ब्लाक चौराहा होते हुये रिंग रोड तक,इन्दिरा नगर सेक्टर-22,0055,50000,107000,81500,62000,,
64,29,रिंग रोड - फैजाबाद रोड से सीतापुर रोड (पॉलिटेक्निक चौराहे से मुंशी पुलिया चौराहे तक),इन्दिरा नगर सेक्टर-22,0055,50000,99000,76000,59000,,
