page,segment_no,segment_hi,village_hi,vcode,nonagri,shop,office,godown,extra,flag
39,1,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,आलमबाग,0127,64000,129000,100000,76000,,
39,2,ऐशबाग रोड नाका चैराहे से हैदरगंज चैराहे तक,ऐशबाग रोड़,0192,33000,77000,60000,45000,,
39,3,ऐशबाग रोड नाका चैराहे से हैदरगंज चैराहे तक,मोतीनगर,0196,38000,88000,69000,51000,,
39,4,कैन्ट रोड़ कैसर बाग चैराहे से सदर रेलवे क्रासिंग तक,उदयगंज,0160,38000,80000,62000,47000,,
39,5,कैन्ट रोड़ कैसर बाग चैराहे से सदर रेलवे क्रासिंग तक,उदयगंज रोड,0161,38000,80000,62000,47000,,
39,6,कैन्ट रोड़ कैसर बाग चैराहे से सदर रेलवे क्रासिंग तक,कबीर मार्ग,0083,38000,80000,62000,47000,,
39,7,कैन्ट रोड़ कैसर बाग चैराहे से सदर रेलवे क्रासिंग तक,क्ले स्क्वायर,0086,38000,80000,62000,47000,,
40,8,कैन्ट रोड़ कैसर बाग चैराहे से सदर रेलवे क्रासिंग तक,डायमण्ड डेरी,0085,38000,80000,62000,47000,,
40,9,कैन्ट रोड़ कैसर बाग चैराहे से सदर रेलवे क्रासिंग तक,मुराद अली लेन नई बस्ती,0087,38000,80000,62000,47000,,
40,10,कैन्ट रोड़ कैसर बाग चैराहे से सदर रेलवे क्रासिंग तक,मुरलीनगर,0082,38000,80000,62000,47000,,
40,11,कैन्ट रोड़ कैसर बाग चैराहे से सदर रेलवे क्रासिंग तक,बरफखाना,0084,38000,80000,62000,47000,,
40,12,गुरू गोविन्द सिंह मार्ग हुसैनगंज चैराहे से नाका चैराहे तक,कटरा मकबूलगंज,0178,41000,71000,55000,41000,,
40,13,गुरू गोविन्द सिंह मार्ग हुसैनगंज चैराहे से नाका चैराहे तक,गाजीउददीन हैदर कालोनी,0096,41000,71000,55000,41000,,
40,14,गुरू गोविन्द सिंह मार्ग हुसैनगंज चैराहे से नाका चैराहे तक,गढ़िया रसूल खान,0090,41000,71000,55000,41000,,
40,15,गुरू गोविन्द सिंह मार्ग हुसैनगंज चैराहे से नाका चैराहे तक,भेड़ी मण्डी,0182,41000,71000,55000,41000,,
40,16,गुरू गोविन्द सिंह मार्ग हुसैनगंज चैराहे से नाका चैराहे तक,राम पाल अधिकारी मार्ग,0091,41000,71000,55000,41000,,
40,17,गुरू गोविन्द सिंह मार्ग हुसैनगंज चैराहे से नाका चैराहे तक,लालकुऑ,0094,41000,71000,55000,41000,,
40,18,गुरू गोविन्द सिंह मार्ग हुसैनगंज चैराहे से नाका चैराहे तक,हुसैनगंज,0186,41000,71000,55000,41000,,
41,19,गुरू गोविन्द सिंह मार्ग हुसैनगंज चैराहे से नाका चैराहे तक,हाता रसूल खान,0089,41000,71000,55000,41000,,
41,20,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,आलमबाग थाना,0048,64000,129000,100000,76000,,
41,21,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,गुरूनानक मार्केट,0201,64000,129000,100000,76000,,
41,22,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,चारबाग,0218,64000,129000,100000,76000,,
41,23,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,दुर्गापुरी (ब्लन्ट स्क्वायर),0211,64000,129000,100000,76000,,
41,24,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,नटखेडा रोड,0111,64000,129000,100000,76000,,
41,25,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,मवईया,0213,64000,129000,100000,76000,,
41,26,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,रामप्रकाश खेड़ा,0125,64000,129000,100000,76000,,
41,27,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,रेलवे स्टोर,0229,64000,129000,100000,76000,,
41,28,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,राम नगर (हरिप्रसाद नगर),0124,64000,129000,100000,76000,,
41,29,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,स्नेहनगर,0151,64000,129000,100000,76000,,
42,30,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,सरदारी खेड़ा,0138,64000,129000,100000,76000,,
42,31,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,सुजानपुरा,0119,64000,129000,100000,76000,,
42,32,चारबाग स्टेशन से अवध अस्पताल/श्रंगारनगर नहर तक,सेन्टर डम्प योजना,0140,64000,129000,100000,76000,,
42,33,महात्मा गांधी मार्ग (इलाहाबाद बैंक से रेलवे क्रासिंग तक),महात्मा गांधी मार्ग,0147,88000,129000,100000,76000,,
42,34,महात्मा गांधी मार्ग (इलाहाबाद बैंक से रेलवे क्रासिंग तक),माल एवेन्यू,0141,88000,129000,100000,76000,,"vcode printed with stray backtick ""`0141"""
42,35,महात्मा गांधी मार्ग (इलाहाबाद बैंक से रेलवे क्रासिंग तक),राणा प्रताप मार्ग,0077,88000,129000,100000,76000,,
42,36,लाटूश रोड़/गौतम बुद्ध मार्ग कैसरबाग चैराहे से चारबाग तक,गौतमबुद्ध मार्ग,0209,64000,129000,100000,76000,,
42,37,लाटूश रोड़/गौतम बुद्ध मार्ग कैसरबाग चैराहे से चारबाग तक,चारबाग,0218,64000,129000,100000,76000,,
42,38,लाटूश रोड़/गौतम बुद्ध मार्ग कैसरबाग चैराहे से चारबाग तक,लोकमान्यगंज,0202,64000,129000,100000,76000,,
42,39,"विधान सभा मार्ग, अशोक मार्ग स्टेशन रोड़",हुसैनगंज,0186,81000,129000,100000,76000,,
42,40,श्रंगारनगर नहर से अम्बेडकर मैदान चैराहा तक बी.आई.पी. रोड़,गीता पल्ली,0131,38000,77000,60000,46000,,
43,41,श्रंगारनगर नहर से अम्बेडकर मैदान चैराहा तक बी.आई.पी. रोड़,गोपाल पुरी,0133,38000,77000,60000,46000,,
43,42,श्रंगारनगर नहर से अम्बेडकर मैदान चैराहा तक बी.आई.पी. रोड़,दामोदर नगर,0156,38000,77000,60000,46000,,
43,43,श्रंगारनगर नहर से अम्बेडकर मैदान चैराहा तक बी.आई.पी. रोड़,फौजी कालोनी,0134,38000,77000,60000,46000,,
43,44,श्रंगारनगर नहर से अम्बेडकर मैदान चैराहा तक बी.आई.पी. रोड़,ब्रहमनगर,0128,38000,77000,60000,46000,,
43,45,श्रंगारनगर नहर से अम्बेडकर मैदान चैराहा तक बी.आई.पी. रोड़,स्नेहनगर,0151,38000,77000,60000,46000,,
43,46,सुभाष मार्ग मेडिकल कालेज चैराहे से चारबाग बस अड्डे तिराहे तक,पानदरीबा,0206,41000,95000,76000,57000,,
43,47,सुभाष मार्ग मेडिकल कालेज चैराहे से चारबाग बस अड्डे तिराहे तक,सुभाष मार्ग,0199,41000,95000,76000,57000,,
43,48,सुभाष मार्ग मेडिकल कालेज चैराहे से चारबाग बस अड्डे तिराहे तक,सुभाष मार्ग,0207,41000,95000,76000,57000,,
43,49,हजरतगंज चैराहे से कालीदास मार्ग चैराहे तक,पार्क रोड़,0075,88000,129000,100000,76000,,
